DIA;HORA;ox;diox;o3;t
10;8;20.762;11.591;18.082;20.075
10;9;20.017;11.808;18.009;20.236
10;10;21.65;12.571;19.026;19.7
10;11;23.004;13.795;18.584;20.169
10;12;21.868;13.106;18.813;20.446
10;13;21.553;12.938;19.477;20.215
10;14;18.215;10.422;21.768;19.847
10;15;18.607;10.706;22.101;19.462
10;16;20.739;12.688;20.458;19.465
10;17;22.691;13.8;19.354;18.87
10;18;20.53;12.486;20.529;18.721
10;19;18.464;10.702;22.596;18.638
10;20;21.116;12.91;21.409;18.287
10;21;18.387;10.748;23.079;18.776
10;22;18.513;11.073;22.486;18.799
10;23;17.746;10.221;24.408;18.889
11;0;18.635;11.256;24.801;18.825
11;1;16.013;8.855;26.293;18.67
11;2;16.939;9.863;23.627;17.757
11;3;19.226;12.066;19.923;17.047
11;4;21.41;13.714;11.815;14.333
11;5;27.069;14.522;12.963;14.714
11;6;37.667;21.067;3.106;12.442
11;7;45.853;17.469;2.337;11.882
11;8;50.011;17.925;3.234;13.631
11;9;40.137;16.959;6.875;17.485
11;10;24.64;13.134;16.348;20.648
11;11;18.771;9.867;23.763;22.198
11;12;18.34;9.55;24.087;23.141
11;13;18.023;9.179;24.167;23.711
11;14;18.656;9.721;23.409;23.997
11;15;18.667;9.921;23.654;23.982
11;16;20.948;11.526;23.147;23.399
11;17;17.778;9.669;23.948;21.696
11;18;18.722;10.811;22.882;20.099
11;19;22.722;14.585;19.215;19.755
11;20;19.766;12.056;21.218;19.766
11;21;21.459;13.301;18.752;19.631
11;22;17.139;9.98;20.893;19.153
11;23;18.432;10.964;17.821;18.448
12;0;26.307;17.833;9.677;17.478
12;1;32.288;20.822;4.171;15.945
12;2;22.936;14.108;7.417;15.633
12;3;22.524;13.813;6.194;15.693
12;4;24.044;14.463;3.927;15.781
12;5;26.874;15.502;2.769;15.621
12;6;38.416;16.186;2.078;15.63
12;7;45.043;14.706;2.239;15.472
12;8;43.31;15.702;3.054;16.503
12;9;34.737;15.674;6.341;19.07
12;10;25.193;13.236;14.407;21.986
12;11;15.928;7.995;20.938;22.479
12;12;16.533;8.37;21.747;22.715
12;13;14.82;7.178;23.951;23.955
12;14;15.984;7.865;23.986;23.708
12;15;16.028;7.924;24.239;23.571
12;16;14.426;6.975;24.887;22.838
12;17;15.931;8.399;23.197;21.023
12;18;15.086;7.931;22.359;19.579
12;19;17.447;10.237;20.565;19.181
12;20;16.385;9.066;21.983;19.297
12;21;17.863;10.599;22.483;19.385
12;22;19.392;11.896;22.697;19.233
12;23;;;;
13;0;;;;
13;1;;;;
13;2;;;;
13;3;;;;
13;4;;;;
13;5;37.147;16.069;2.095;14.059
13;6;36.088;16.773;2.306;13.935
13;7;43.257;16.445;2.25;13.762
13;8;41.591;15.595;3.202;15.07
13;9;30.68;13.886;6.982;18.377
13;10;21.372;11.308;16.08;21.015
13;11;20.023;10.776;21.231;22.596
13;12;18.97;10.641;25.678;24.225
13;13;17.593;10.03;34.066;25.803
13;14;16.002;8.809;38.168;27.074
13;15;18.108;10.724;39.036;27.569
13;16;20.28;12.393;33.489;26.184
13;17;20.37;12.453;31.524;24.416
13;18;17.454;10.273;27.335;21.936
13;19;20.606;13.062;21.006;20.175
13;20;23.568;15.994;18.242;19.814
